termino,frecuencia
noche,704
mal,477
muerte,361
silencio,356
miedo,285
sangre,279
sombra,246
muerto,237
espíritu,218
dolor,208
duda,207
morir,169
lágrimas,164
mala,143
sueño,137
enfermo,124
terrible,123
secreto,119
misterio,117
grito,105
loco,101
terror,92
imposible,91
malo,86
cruz,86
peligro,83
criatura,80
golpe,79
extraño,78
enferma,78
diablo,74
muerta,73
misterioso,72
enfermedad,71
horror,67
luto,66
locura,66
loca,65
pecado,64
fantasía,64
angustia,64
horrible,63
eterna,61
culpa,61
crimen,61
difunto,59
demonio,59
oscuro,58
misteriosa,57
fiebre,56
extraña,56
cadáver,55
reja,50
infierno,49
daño,48
cárcel,48
agonía,48
herida,44
sufrir,43
desconocido,43
visión,42
oscura,42
eterno,42
espanto,42
oscuridad,41
nervios,41
llanto,41
mortal,40
sepulcro,38
romper,38
ataúd,38
fúnebre,37
nervioso,36
monstruo,36
tormento,35
susto,35
silencioso,35
final,35
tinieblas,34
aparición,34
vacío,33
fantasma,33
satanás,32
criminal,32
bruja,32
sombrío,31
cuchillo,31
castigo,31
entierro,30
penumbra,29
maldita,29
araña,29
padecer,28
oculta,28
maldito,28
doble,27
absurdo,27
ruina,26
inquietud,26
enterrado,26
ansiedad,26
lobo,25
falso,25
nerviosa,24
falsa,24
condenado,24
extrañeza,23
eternamente,23
desconocida,23
delito,23
oculto,22
martirio,22
inexplicable,22
engaño,22
dudar,22
niebla,21
inverosímil,21
brutal,21
violencia,20
pesadilla,19
penitencia,19
lágrima,19
delirio,19
tumba,18
engañar,18
culpable,18
amenaza,18
sufrimiento,17
sapo,17
infernal,17
aparecido,17
sobrenatural,16
inevitable,16
espantosa,16
asustado,16
asustada,16
sucio,15
sucia,15
purgatorio,15
peligrosa,15
llaga,15
febril,15
condenada,15
peligroso,14
límite,14
excepcional,14
difunta,14
decadencia,14
catástrofe,14
alucinación,14
violento,13
violenta,13
umbría,13
suplicio,13
supersticioso,13
insecto,13
hundida,13
fantástico,13
espectro,13
encerrado,13
desconfianza,13
ataque,13
prisión,12
pánico,12
naufragio,12
inquieto,12
gusano,12
frontera,12
brumosa,12
bruma,12
superstición,11
padecimiento,11
inquieta,11
increíble,11
fantástica,11
excepción,11
angustioso,11
alarido,11
serpiente,10
perseguido,10
paliza,10
mágico,10
inesperado,10
horroroso,10
camposanto,10
tenebroso,9
sugestión,9
sangriento,9
prisionero,9
náufrago,9
lápida,9
intuición,9
informe,9
inesperada,9
espantoso,9
espantado,9
diabólica,9
convulsión,9
contradicción,9
chillido,9
peste,8
pavoroso,8
pavor,8
parásito,8
obsesión,8
lóbrega,8
incomprensible,8
hundido,8
herir,8
golpear,8
encerrada,8
delirante,8
atacar,8
trastorno,7
trastornado,7
tensión,7
nocturna,7
mágica,7
malestar,7
maleficio,7
maldición,7
magia,7
inquietante,7
inexorable,7
híbrido,7
hereje,7
grotesco,7
entidad,7
enterrar,7
encerrar,7
diabólico,7
desgarrado,7
absurda,7
vampiro,6
sumergido,6
suciedad,6
pavorosa,6
pacto,6
neblina,6
monstruoso,6
maligno,6
irregular,6
irracional,6
hundir,6
funeral,6
enloquecido,6
encierro,6
embrujado,6
ejecutado,6
descompuesto,6
condena,6
castigado,6
ánima,6
asesinato,6
asesinado,6
satánico,5
pasadizo,5
paralizada,5
nocturno,5
mortuoria,5
endemoniada,5
dudosa,5
destruir,5
desconfiar,5
descomposición,5
celda,5
asustar,5
angustiosa,5
adivinación,5
trastornada,4
supersticiosa,4
sepulcral,4
sarcófago,4
pecar,4
parálisis,4
opresión,4
moco,4
miedoso,4
lóbrego,4
imposibilidad,4
histérico,4
hechizo,4
fallecimiento,4
dudoso,4
destrucción,4
desgarrada,4
condenación,4
caos,4
atormentado,4
atormentada,4
viscosa,3
terrorífica,3
sobrehumano,3
sobrehumana,3
satánica,3
satán,3
sangrienta,3
persecución,3
perplejo,3
mugre,3
mórbida,3
morbidez,3
monstruosa,3
metamorfosis,3
maligna,3
maléfico,3
inconcebible,3
inanimado,3
horrorosa,3
histérica,3
espectral,3
espantada,3
engendro,3
engañosa,3
encapuchada,3
embrujo,3
ejecutar,3
ejecución,3
despojada,3
desolado,3
desolada,3
brujo,3
brujería,3
blasfemia,3
aparecida,3
amenazante,3
alterar,3
alteración,3
ajusticiado,3
vómito,2
viscoso,2
umbrío,2
trastornar,2
simulacro,2
prisionera,2
perseguir,2
perseguida,2
náufraga,2
mugriento,2
mugrienta,2
mortuorio,2
martirizado,2
martirizada,2
intuitivo,2
incoherente,2
inanimada,2
ilógico,2
herejía,2
hechizado,2
grotesca,2
funerario,2
falsedad,2
expiar,2
espejismo,2
enterrada,2
enloquecida,2
endemoniado,2
embrujada,2
disuelto,2
destruida,2
despojado,2
desconfiado,2
delirar,2
cadavérico,2
cadavérica,2
averno,2
aquelarre,2
aprisionado,2
alucinar,2
acuchillada,2
tiniebla,1
terrorífico,1
sumergir,1
sumergida,1
sangrante,1
ruptura,1
pecaminosa,1
paralizado,1
oscurantista,1
oscurantismo,1
naufragar,1
mórbido,1
miedosa,1
mausoleo,1
irrupción,1
intuitiva,1
insólita,1
insalubre,1
infecto,1
indescifrable,1
incorpórea,1
incoherencia,1
inamovible,1
homicidio,1
hechizada,1
fallecido,1
expiación,1
espasmo,1
enloquecer,1
engañoso,1
duplicado,1
disuelta,1
disolver,1
disolución,1
destruido,1
desproporcionado,1
desproporcionada,1
desmoronada,1
desconfiada,1
descompuesta,1
demoníaca,1
delincuente,1
decadente,1
dañino,1
castigada,1
caótica,1
blasfema,1
barrotes,1
atrapar,1
atrapado,1
atormentar,1
asesinada,1
apestado,1
anomalía,1
amenazar,1
ambigua,1
agónico,1
abyecto,1
